,lat,lon,ad
114,32.97963061870304,-117.07970077290894,11800 CARMEL MTN
115,32.80188,-117.245262,1400 DIAMOND
116,32.739322775111155,-117.09559694976438,3200 46TH
117,32.806029,-117.260863,600 TOURMALINE
118,32.8100235,-117.2225704,4200 PACIFIC
119,32.828971,-117.163853,4800 SHAWLINE
120,32.785304659694894,-117.12579090701617,9300 FRIARS
121,32.744611,-117.087573,3600 50TH
122,32.786839,-117.120095,9500 FRIARS
123,32.71342,-117.237621,600 ROSECRANS
124,32.8472661,-117.2788003,3000 CHILDRENS
125,32.7709735,-117.0786104,3500 MONTEZUMA
126,32.5798716,-117.0196867,4900 OCEAN VIEW HILLS
127,32.821825958501485,-117.15744411901271,7700 BALBOA
128,32.74321132077934,-117.05213561779651,3400 COLLEGE
129,32.759142,-117.122745,3300 MONROE
130,32.748808761208444,-117.17976814835853,1800 WASHINGTON
131,32.711546,-117.164831,200 MARKET
132,32.70728312285069,-117.14864421498378,200 17TH
133,32.721506,-117.089641,4900 FEDERAL
134,32.693791,-117.116846,1200 36TH
135,0.0,0.0,2800 CAM DEL RIO SOUTH
136,0.0,0.0,2400 06TH
137,32.733402,-117.100889,4300 MAPLE
138,32.684324,-117.046961,2100 JAMIE
139,32.747857,-117.104331,4200 WIGHTMAN
140,32.771549,-117.140185,2000 QUALCOMM
141,32.692379,-117.125178,3200 MAIN
142,32.833067,-117.200789,4300 CLAIREMONT MESA
143,32.77559137186668,-117.15404511706913,5600 MISSION CENTER
144,32.726587,-117.098151,2000 FAIRMOUNT
145,32.80506,-117.223758,2500 GARNET
146,32.765301,-117.066961,4800 COLLEGE
147,32.80175529146406,-117.01141324483905,8700 LAKE MURRAY
148,32.73670916995006,-117.21705970783306,2400 TRUXTUN
149,32.698323,-117.141927,1000 EVANS
150,0.0,0.0,14600 CAM DEL NORTE
151,0.0,0.0,0 CAM DE LA PLAZA
152,33.1184487,-117.09429774444182,600 GATEWAY CENTER
153,32.792511,-117.15641,2000 GENESEE
154,32.727091,-117.102067,4300 HOME
155,32.736610112425595,-117.05995507377109,6300 COLLEGE GROVE
156,32.70358,-117.139303,2000 HARRISON
157,32.751932,-117.204282,3700 ROSECRANS
158,32.847584,-117.021693,8500 MAST
159,32.751922,-117.061599,6300 CELIA VISTA
160,32.86842957833873,-117.22577170483981,3600 NOBEL
161,32.709416,-117.042606,7200 JACMAR
162,32.8563968972039,-117.19920824773853,6600 LIPMANN
163,32.769340586676584,-117.17037162279851,7000 FRIARS
164,32.8401623,-117.2740777,2300 LA JOLLA
165,32.75006678864198,-117.1594182271603,900 WASHINGTON
166,32.797073,-117.245594,1300 GRAND
167,33.3440689,-116.719837,1300 PALM
168,32.83146633643636,-117.13494093221681,8800 CLAIREMONT MESA
169,32.915659,-117.148421,8100 NEW SALEM
170,32.742619,-117.074625,5600 STREAMVIEW
171,32.78651761678005,-117.12119960228374,9400 FRIARS
172,33.1992068,-116.5986298,8400 SAN FELIPE
173,32.783346,-117.098347,6000 MISSION GORGE
174,32.850803,-116.882492,3700 INDIAN
175,32.818006,-117.203197,4200 GILA
176,32.821658,-117.208621,3600 MABON
177,32.772201,-117.158358,7600 FRIARS
178,32.573181,-117.054065,1300 PICADOR
179,32.747947,-117.208058,3300 ROSECRANS
180,32.90356012401905,-117.11429708913082,9800 CARROLL CANYON
181,32.7947731,-116.962526,3200 EL CAJON
182,32.802116,-117.241592,4300 INGRAHAM
183,32.7122141,-117.1337799,0 28TH
184,0.0,0.0,3600 07TH
185,32.741816,-117.223908,3600 ALCOTT
186,32.7947731,-116.962526,4700 EL CAJON
187,32.9189649,-117.1720892,7700 CALLE CRISTOBAL
188,32.696896,-117.096822,4500 LOGAN
189,32.753263,-117.101747,4300 ORANGE
190,32.92803549302786,-117.10559702065541,11500 WINDING RIDGE
191,32.807278,-117.114776,3300 MURPHY CANYON
192,32.775468,-117.098872,5100 FAIRMOUNT
193,32.70621827627426,-117.12532312212214,100 32ND
194,32.754112,-117.142372,2100 HOWARD
195,0.0,0.0,3200 04TH
196,32.792228,-117.178003,6500 OSLER
197,32.727184,-117.070442,5800 FEDERAL
198,32.805473,-117.017671,6700 BOULDER LAKE
199,0.0,0.0,4100 01ST
200,32.934083,-117.013202,15600 VIA SANTA PRADERA
